Comissão,Data,Hora,Reunião,Texto,Tipo
Comissão Especial - PL 6.583/13 - Estatuto da Família,07/05/2014,14h57,0528/14,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Especial - PL 6.583/13 - Estatuto da Família&tpReuniaoEvento=AP c/ Convidado&dtReuniao=07/05/2014&hrInicio=14:57:00&hrFim=16:33:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0528/14&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:57&sgFaseSessao=&Data=07/05/2014&txApelido=&txFaseSessao=&txTipoSessao=Especial - PL&dtHoraQuarto=14:57&txEtapa=,AP c/ Convidado
Comissão Especial - PL 8035/10 - Plano Nacional de Educação,23/04/2014,15h18,0420/14,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Especial - PL 8035/10 - Plano Nacional de Educação&tpReuniaoEvento=Reunião Ordinária&dtReuniao=23/04/2014&hrInicio=15:18:00&hrFim=16:41:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0420/14&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:18&sgFaseSessao=&Data=23/04/2014&txApelido=&txFaseSessao=&txTipoSessao=Especial - PL&dtHoraQuarto=15:18&txEtapa=,Reunião Ordinária
Comissão Especial - PL 8035/10 - Plano Nacional de Educação,22/04/2014,15h08,0387/14,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Especial - PL 8035/10 - Plano Nacional de Educação&tpReuniaoEvento=Reunião Ordinária&dtReuniao=22/04/2014&hrInicio=15:08:00&hrFim=18:40:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0387/14&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:08&sgFaseSessao=&Data=22/04/2014&txApelido=&txFaseSessao=&txTipoSessao=Especial - PL&dtHoraQuarto=15:08&txEtapa=,Reunião Ordinária
Comissão de Relações Exteriores e de Defesa Nacional,09/04/2014,11h27,0338/14,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=09/04/2014&hrInicio=11:27:00&hrFim=14:39:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0338/14&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=11:27&sgFaseSessao=&Data=09/04/2014&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=11:27&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos e Minorias,04/12/2013,14h04,2164/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=AP c/ Convidado&dtReuniao=04/12/2013&hrInicio=14:04:00&hrFim=17:52:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=2164/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:04&sgFaseSessao=&Data=04/12/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:04&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos e Minorias,27/11/2013,14h52,2104/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=Reunião Ordinária&dtReuniao=27/11/2013&hrInicio=14:52:00&hrFim=18:25:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=2104/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:52&sgFaseSessao=&Data=27/11/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:52&txEtapa=,Reunião Ordinária
Comissão de Segurança Pública e Combate ao Crime Organizado,20/11/2013,15h50,2031/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Segurança Pública e Combate ao Crime Organizado&tpReuniaoEvento=AP c/ Convidado&dtReuniao=20/11/2013&hrInicio=15:50:00&hrFim=18:11:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=2031/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:50&sgFaseSessao=&Data=20/11/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=15:50&txEtapa=,AP c/ Convidado
"Comissão de Trabalho, de Administração e Serviço Público",12/11/2013,14h51,1922/13,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Trabalho, de Administração e Serviço Público&tpReuniaoEvento=AP c/ Convidado&dtReuniao=12/11/2013&hrInicio=14:51:00&hrFim=18:30:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1922/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:51&sgFaseSessao=&Data=12/11/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:51&txEtapa=",AP c/ Convidado
Comissão de Direitos Humanos e Minorias,06/11/2013,14h31,1900/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=AP c/ Convidado&dtReuniao=06/11/2013&hrInicio=14:31:00&hrFim=17:33:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1900/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:31&sgFaseSessao=&Data=06/11/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:31&txEtapa=,AP c/ Convidado
Conselho de Ética e Decoro Parlamentar,30/10/2013,14h36,1794/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Conselho de Ética e Decoro Parlamentar&tpReuniaoEvento=Reunião Ordinária&dtReuniao=30/10/2013&hrInicio=14:36:00&hrFim=16:01:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1794/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:36&sgFaseSessao=&Data=30/10/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:36&txEtapa=,Reunião Ordinária
Comissão de Direitos Humanos,09/10/2013,14h22,1641/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos&tpReuniaoEvento=AP c/ Convidado&dtReuniao=09/10/2013&hrInicio=14:22:00&hrFim=16:48:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1641/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:22&sgFaseSessao=&Data=09/10/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:22&txEtapa=,AP c/ Convidado
Comissão de Legislação Participativa,08/10/2013,14h40,1607/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Legislação Participativa&tpReuniaoEvento=AP c/ Convidado&dtReuniao=08/10/2013&hrInicio=14:40:00&hrFim=17:18:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1607/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:40&sgFaseSessao=&Data=08/10/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:40&txEtapa=,AP c/ Convidado
Comissão de Meio Ambiente e Desenvolvimento Sustentável,04/10/2013,12h40,2121/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Meio Ambiente e Desenvolvimento Sustentável&tpReuniaoEvento=Mesa Redonda&dtReuniao=04/10/2013&hrInicio=12:40:00&hrFim=17:03:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=2121/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=12:40&sgFaseSessao=&Data=04/10/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=12:40&txEtapa=,Mesa Redonda
Comissão de Direitos Humanos e Minorias,02/10/2013,14h09,1588/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=AP c/ Convidado&dtReuniao=02/10/2013&hrInicio=14:09:00&hrFim=18:10:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1588/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:09&sgFaseSessao=&Data=02/10/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:09&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,04/09/2013,10h15,1314/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=04/09/2013&hrInicio=10:15:00&hrFim=11:29:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1314/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:15&sgFaseSessao=&Data=04/09/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:15&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos e Minorias,27/08/2013,14h25,1224/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=Seminário&dtReuniao=27/08/2013&hrInicio=14:25:00&hrFim=18:43:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1224/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:25&sgFaseSessao=&Data=27/08/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:25&txEtapa=,Seminário
Comissão de Segurança Pública e Combate ao Crime Organizado,22/09/2011,10h31,1458/11,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Segurança Pública e Combate ao Crime Organizado&tpReuniaoEvento=AP c/ Convidado&dtReuniao=22/09/2011&hrInicio=10:31:00&hrFim=12:37:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1458/11&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:31&sgFaseSessao=&Data=22/09/2011&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:31&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,22/08/2013,9h41,1204/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=22/08/2013&hrInicio=09:41:00&hrFim=13:33:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1204/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=09:41&sgFaseSessao=&Data=22/08/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=09:41&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos e Minorias,10/07/2013,14h14,0963/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=AP c/ Convidado&dtReuniao=10/07/2013&hrInicio=14:14:00&hrFim=17:06:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0963/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:14&sgFaseSessao=&Data=10/07/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:14&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos e Minorias,03/07/2013,14h23,0899/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=AP c/ Convidado&dtReuniao=03/07/2013&hrInicio=14:23:00&hrFim=17:13:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0899/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:23&sgFaseSessao=&Data=03/07/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:23&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos,25/06/2013,14h53,0832/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos&tpReuniaoEvento=AP c/ Convidado&dtReuniao=25/06/2013&hrInicio=14:53:00&hrFim=17:12:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0832/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:53&sgFaseSessao=&Data=25/06/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:53&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos e Minorias,18/06/2013,14h44,0790/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=Reunião Ordinária&dtReuniao=18/06/2013&hrInicio=14:44:00&hrFim=16:14:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0790/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:44&sgFaseSessao=&Data=18/06/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:44&txEtapa=,Reunião Ordinária
Comissão de Direitos Humanos,12/06/2013,14h18,0751/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos&tpReuniaoEvento=AP c/ Convidado&dtReuniao=12/06/2013&hrInicio=14:18:00&hrFim=16:28:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0751/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:18&sgFaseSessao=&Data=12/06/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:18&txEtapa=,AP c/ Convidado
Comissão de Constituição e Justiça e de Cidadania,12/06/2013,10h14,0756/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Constituição e Justiça e de Cidadania&tpReuniaoEvento=AP c/ Ministro&dtReuniao=12/06/2013&hrInicio=10:14:00&hrFim=15:06:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0756/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:14&sgFaseSessao=&Data=12/06/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:14&txEtapa=,AP c/ Ministro
Comissão de Meio Ambiente e Desenvolvimento Sustentável,04/06/2013,14h22,0657/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Meio Ambiente e Desenvolvimento Sustentável&tpReuniaoEvento=AP c/ Convidado&dtReuniao=04/06/2013&hrInicio=14:22:00&hrFim=17:18:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0657/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:22&sgFaseSessao=&Data=04/06/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:22&txEtapa=,AP c/ Convidado
,29/05/2013,11h11,0636/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=&tpReuniaoEvento=&dtReuniao=29/05/2013&hrInicio=11:11:00&hrFim=13:37:00&origemDiscurso=&nmLocal=&nuSessao=0636/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=11:11&sgFaseSessao=&Data=29/05/2013&txApelido=&txFaseSessao=&txTipoSessao=&dtHoraQuarto=11:11&txEtapa=,
Comissão de Constituição e Justiça e de Cidadania,09/05/2013,10h06,0497/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Constituição e Justiça e de Cidadania&tpReuniaoEvento=AP c/ Convidado&dtReuniao=09/05/2013&hrInicio=10:06:00&hrFim=13:43:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0497/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:06&sgFaseSessao=&Data=09/05/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:06&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos e Minorias,24/04/2013,14h27,0411/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=AP c/ Convidado&dtReuniao=24/04/2013&hrInicio=14:27:00&hrFim=17:25:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0411/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:27&sgFaseSessao=&Data=24/04/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:27&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos e Minorias,17/04/2013,14h14,0355/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=AP c/ Convidado&dtReuniao=17/04/2013&hrInicio=14:14:00&hrFim=16:01:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0355/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:14&sgFaseSessao=&Data=17/04/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:14&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos e Minorias,27/03/2013,14h58,0193/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=AP c/ Convidado&dtReuniao=27/03/2013&hrInicio=14:58:00&hrFim=17:03:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0193/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:58&sgFaseSessao=&Data=27/03/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:58&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos e Minorias,20/03/2013,14h26,0148/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=AP c/ Convidado&dtReuniao=20/03/2013&hrInicio=14:26:00&hrFim=15:09:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0148/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:26&sgFaseSessao=&Data=20/03/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:26&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos e Minorias,07/03/2013,9h27,0066/13,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=Eleição&dtReuniao=07/03/2013&hrInicio=09:27:00&hrFim=12:09:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0066/13&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=09:27&sgFaseSessao=&Data=07/03/2013&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=09:27&txEtapa=,Eleição
Comissão de Relações Exteriores e de Defesa Nacional,05/12/2012,11h20,1717/12,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=05/12/2012&hrInicio=11:20:00&hrFim=12:57:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1717/12&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=11:20&sgFaseSessao=&Data=05/12/2012&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=11:20&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,22/08/2012,11h17,1198/12,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=22/08/2012&hrInicio=11:17:00&hrFim=12:45:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1198/12&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=11:17&sgFaseSessao=&Data=22/08/2012&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=11:17&txEtapa=,AP c/ Convidado
Comissão de Seguridade Social e Família,28/06/2012,9h52,0975/12,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Seguridade Social e Família&tpReuniaoEvento=AP c/ Convidado&dtReuniao=28/06/2012&hrInicio=09:52:00&hrFim=12:01:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0975/12&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=09:52&sgFaseSessao=&Data=28/06/2012&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=09:52&txEtapa=,AP c/ Convidado
"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",23/08/2011,15h21,1217/11,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural&tpReuniaoEvento=AP c/ Convidado&dtReuniao=23/08/2011&hrInicio=15:21:00&hrFim=20:03:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1217/11&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:21&sgFaseSessao=&Data=23/08/2011&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=15:21&txEtapa=",AP c/ Convidado
Comissão de Segurança Pública e Combate ao Crime Organizado,06/07/2011,14h42,0960/11,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Segurança Pública e Combate ao Crime Organizado&tpReuniaoEvento=Reunião Ordinária&dtReuniao=06/07/2011&hrInicio=14:42:00&hrFim=16:08:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0960/11&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:42&sgFaseSessao=&Data=06/07/2011&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:42&txEtapa=,Reunião Ordinária
Conselho de Ética e Decoro Parlamentar,29/06/2011,14h47,0900/11,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Conselho de Ética e Decoro Parlamentar&tpReuniaoEvento=Reunião Ordinária&dtReuniao=29/06/2011&hrInicio=14:47:00&hrFim=16:32:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0900/11&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:47&sgFaseSessao=&Data=29/06/2011&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:47&txEtapa=,Reunião Ordinária
Comissão de Direitos Humanos e Minorias,29/06/2011,14h30,0902/11,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=AP c/ Convidado&dtReuniao=29/06/2011&hrInicio=14:30:00&hrFim=17:44:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0902/11&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:30&sgFaseSessao=&Data=29/06/2011&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:30&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos e Minorias,19/05/2011,10h02,0538T/11,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=Seminário&dtReuniao=19/05/2011&hrInicio=10:02:00&hrFim=13:20:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0538T/11&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:02&sgFaseSessao=&Data=19/05/2011&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:02&txEtapa=,Seminário
Comissão de Direitos Humanos e Minorias,19/05/2011,10h02,0538/11,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=Seminário&dtReuniao=19/05/2011&hrInicio=10:02:00&hrFim=13:20:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0538/11&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:02&sgFaseSessao=&Data=19/05/2011&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:02&txEtapa=,Seminário
Comissão Especial  -  Reforma Política 2011,05/05/2011,9h43,0412/11,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Especial  -  Reforma Política 2011&tpReuniaoEvento=AP c/ Convidado&dtReuniao=05/05/2011&hrInicio=09:43:00&hrFim=12:23:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0412/11&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=09:43&sgFaseSessao=&Data=05/05/2011&txApelido=&txFaseSessao=&txTipoSessao=Especial&dtHoraQuarto=09:43&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos e Minorias,27/04/2011,14h26,0350/11,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=AP c/ Convidado&dtReuniao=27/04/2011&hrInicio=14:26:00&hrFim=17:27:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0350/11&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:26&sgFaseSessao=&Data=27/04/2011&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:26&txEtapa=,AP c/ Convidado
Comissão de Direitos Humanos e Minorias,14/12/2010,9h40,1303/10,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=Seminário&dtReuniao=14/12/2010&hrInicio=09:40:00&hrFim=13:02:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1303/10&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=09:40&sgFaseSessao=&Data=14/12/2010&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=09:40&txEtapa=,Seminário
