Comissão,Data,Hora,Reunião,Texto,Tipo
Conselho de Ética e Decoro Parlamentar,09/11/2016,14h15,1364/16,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Conselho de Ética e Decoro Parlamentar&tpReuniaoEvento=Reunião Ordinária&dtReuniao=09/11/2016&hrInicio=14:15:00&hrFim=01/01/1900 17:32:41&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1364/16&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:15&sgFaseSessao=&Data=09/11/2016&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:15&txEtapa=,Reunião Ordinária
Conselho de Ética e Decoro Parlamentar,08/11/2016,16h19,1336/16,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Conselho de Ética e Decoro Parlamentar&tpReuniaoEvento=Reunião Ordinária&dtReuniao=08/11/2016&hrInicio=16:19:00&hrFim=17:00:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1336/16&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=16:19&sgFaseSessao=&Data=08/11/2016&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=16:19&txEtapa=,Reunião Ordinária
Conselho de Ética e Decoro Parlamentar,08/11/2016,13h59,1324/16,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Conselho de Ética e Decoro Parlamentar&tpReuniaoEvento=Reunião Ordinária&dtReuniao=08/11/2016&hrInicio=13:59:00&hrFim=01/01/1900 16:09:51&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1324/16&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=13:59&sgFaseSessao=&Data=08/11/2016&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=13:59&txEtapa=,Reunião Ordinária
Comissão de Educação,14/06/2016,14h53,0625/16,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Educação&tpReuniaoEvento=AP c/ Convidado&dtReuniao=14/06/2016&hrInicio=14:53:00&hrFim=17:54:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0625/16&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:53&sgFaseSessao=&Data=14/06/2016&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:53&txEtapa=,AP c/ Convidado
Comissão de Turismo,08/06/2016,15h13,0592/16,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Turismo&tpReuniaoEvento=AP c/ Convidado&dtReuniao=08/06/2016&hrInicio=15:13:00&hrFim=17:54:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0592/16&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:13&sgFaseSessao=&Data=08/06/2016&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=15:13&txEtapa=,AP c/ Convidado
CPI - FUNAI e INCRA,13/04/2016,10h02,0262/16,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=CPI - FUNAI e INCRA&tpReuniaoEvento=AP c/ Convidado&dtReuniao=13/04/2016&hrInicio=10:02:00&hrFim=11:51:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0262/16&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:02&sgFaseSessao=&Data=13/04/2016&txApelido=&txFaseSessao=&txTipoSessao=CPI&dtHoraQuarto=10:02&txEtapa=,AP c/ Convidado
CPI - Maus-tratos de Animais,16/12/2015,14h55,2761/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=CPI - Maus-tratos de Animais&tpReuniaoEvento=AP c/ Convidado&dtReuniao=16/12/2015&hrInicio=14:55:00&hrFim=17:33:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=2761/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:55&sgFaseSessao=&Data=16/12/2015&txApelido=&txFaseSessao=&txTipoSessao=CPI&dtHoraQuarto=14:55&txEtapa=,AP c/ Convidado
CPI - Crimes Cibernéticos,03/11/2015,15h29,2282/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=CPI - Crimes Cibernéticos&tpReuniaoEvento=AP c/ Convidado&dtReuniao=03/11/2015&hrInicio=15:29:00&hrFim=18:11:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=2282/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:29&sgFaseSessao=&Data=03/11/2015&txApelido=&txFaseSessao=&txTipoSessao=CPI&dtHoraQuarto=15:29&txEtapa=,AP c/ Convidado
CPI - Crimes Cibernéticos,29/10/2015,10h49,2268/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=CPI - Crimes Cibernéticos&tpReuniaoEvento=AP c/ Convidado&dtReuniao=29/10/2015&hrInicio=10:49:00&hrFim=13:57:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=2268/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:49&sgFaseSessao=&Data=29/10/2015&txApelido=&txFaseSessao=&txTipoSessao=CPI&dtHoraQuarto=10:49&txEtapa=,AP c/ Convidado
CPI - Crimes Cibernéticos,27/10/2015,15h31,2217/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=CPI - Crimes Cibernéticos&tpReuniaoEvento=AP c/ Convidado&dtReuniao=27/10/2015&hrInicio=15:31:00&hrFim=17:39:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=2217/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:31&sgFaseSessao=&Data=27/10/2015&txApelido=&txFaseSessao=&txTipoSessao=CPI&dtHoraQuarto=15:31&txEtapa=,AP c/ Convidado
