Data,Discurso,Fase,Hora,Orador,Publicação,Sessão,Sumário
06/07/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=170.3.52.O&nuQuarto=3&nuOrador=2&nuInsercao=0&dtHorarioQuarto=15:06&sgFaseSessao=AB&Data=06/07/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Abertura&txTipoSessao=Extraordinária - CD&dtHoraQuarto=15:06&txEtapa=",ABERTURA,15h06,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=32333&Datain=07/07/2005&txSuplemento=,170.3.52.O,"Condicionamento da concordância com a   manutenção do  registro de presença no painel eletrônico  da sessão anterior para a presente sessão,  ao adiamento da votação do Projeto de Decreto Legislativo relativo a referendo sobre comercialização de arma de fogo e munição para a próxima sessão. 
"
06/07/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=169.3.52.O&nuQuarto=87&nuOrador=3&nuInsercao=44&dtHorarioQuarto=11:52&sgFaseSessao=OD&Data=06/07/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Ordem do Dia&txTipoSessao=Extraordinária - CD&dtHoraQuarto=11:52&txEtapa=",ORDEM DO DIA,11h52,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=32302&Datain=07/07/2005&txSuplemento=,169.3.52.O,"Posicionamento contrário ao Requerimento de regime de urgência urgentíssima para o Projeto de Decreto Legislativo 1.274 de 2004 (Autoriza referendo acerca da comercialização de arma de fogo e munição em território nacional, a ser realizado no primeiro domingo do mês de outubro de 2005). Ponderações sobre a inconveniência do desarmamento da população. Críticas ao PT. 

"
06/07/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=169.3.52.O&nuQuarto=10&nuOrador=2&nuInsercao=0&dtHorarioQuarto=09:18&sgFaseSessao=BC&Data=06/07/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Breves Comunicações&txTipoSessao=Extraordinária - CD&dtHoraQuarto=09:18&txEtapa=",BREVES COMUNICAÇÕES,9h18,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=32225&Datain=07/07/2005&txSuplemento=,169.3.52.O,Apoio ao pronunciamento do Deputado Paulo Feijó. Sugestão à imprensa escrita para elaboração de matéria sob o título Deputado Nota 10. Recebimento de mensalão pelos Deputados do Partido dos Trabalhadores. Corrupção praticada pelo Governo petista para aprovação de propostas prejudiciais aos servidores públicos. Participação do Deputado José Dirceu em cursos de tortura e seqüestro. Protesto contra a aprovação de leis concessivas de poder absoluto ao Estado brasileiro. Alerta aos Deputados sobre a votação da proposta de realização de referendo popular acerca da comercialização de armas de fogo no País.
05/07/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=165.3.52.O&nuQuarto=96&nuOrador=1&nuInsercao=0&dtHorarioQuarto=12:16&sgFaseSessao=BC&Data=05/07/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Breves Comunicações&txTipoSessao=Extraordinária - CD&dtHoraQuarto=12:16&txEtapa=",BREVES COMUNICAÇÕES,12h16,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=31906&Datain=06/07/2005&txSuplemento=,165.3.52.O,Contradição entre discursos de Parlamentares do PT em defesa da ética e da moralidade e os fortes indícios do envolvimento de Deputados do partido em esquema de corrupção.
24/06/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=148.3.52.O&nuQuarto=32&nuOrador=2&nuInsercao=0&dtHorarioQuarto=16:42&sgFaseSessao=HO&Data=24/06/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Homenagem&txTipoSessao=Solene - CD&dtHoraQuarto=16:42&txEtapa=",HOMENAGEM,16h42,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=28820&Datain=25/06/2005&txSuplemento=,148.3.52.O,"Agradecimento aos funcionários da Casa, em nome do Secretário-Geral da Mesa, Mozart Vianna de Paiva. Convite a civis e militares para participação em marcha cívica no Distrito Federal."
24/06/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=148.3.52.O&nuQuarto=24&nuOrador=1&nuInsercao=0&dtHorarioQuarto=16:18&sgFaseSessao=HO&Data=24/06/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Homenagem&txTipoSessao=Solene - CD&dtHoraQuarto=16:18&txEtapa=",HOMENAGEM,16h18,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=28817&Datain=25/06/2005&txSuplemento=,148.3.52.O,Homenagem  à memória dos militares das Forças Armadas mortos na Guerrilha do Araguaia.
24/06/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=147.3.52.O&nuQuarto=28&nuOrador=2&nuInsercao=0&dtHorarioQuarto=10:21&sgFaseSessao=GE&Data=24/06/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Grande Expediente&txTipoSessao=Ordinária - CD&dtHoraQuarto=10:21&txEtapa=",GRANDE EXPEDIENTE,10h21,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=28748&Datain=25/06/2005&txSuplemento=,147.3.52.O,"Realização, pela Casa, de sessão solene em homenagem aos militares mortos na Guerrilha do Araguaia. Anúncio da realização de marcha cívica em Brasília, Distrito Federal."
23/06/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=144.3.52.O&nuQuarto=28&nuOrador=2&nuInsercao=0&dtHorarioQuarto=08:54&sgFaseSessao=BC&Data=23/06/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Breves Comunicações&txTipoSessao=Extraordinária - CD&dtHoraQuarto=08:54&txEtapa=",BREVES COMUNICAÇÕES,8h54,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=28423&Datain=24/06/2005&txSuplemento=,144.3.52.O,"Exigência de manutenção de fidelidade, pelos homens públicos, com a consciência e com os eleitores. Ações da Ministra-Chefe da Casa Civil da Presidência da República, Dilma Rousseff, como militante de esquerda no País. Anúncio da realização de sessão solene na Casa em homenagem à memória aos militares mortos  na Guerrilha do Araguaia. Convite a militares da ativa e civis para participação de marcha cívica em Brasília, Distrito Federal."
16/06/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=134.3.52.O&nuQuarto=17&nuOrador=2&nuInsercao=0&dtHorarioQuarto=14:32&sgFaseSessao=PE&Data=16/06/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Pequeno Expediente&txTipoSessao=Ordinária - CD&dtHoraQuarto=14:32&txEtapa=",PEQUENO EXPEDIENTE,14h32,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=26696&Datain=17/06/2005&txSuplemento=,134.3.52.O,"Comportamento dúbio de Parlamentares do PT com relação à instauração de Comissão Parlamentar de Inquérito destinada à apuração de denúncias de corrupção. Baixo índice de reajuste salarial concedido aos militares das Forças Armadas. Inadimplência do Fundo de Saúde do Exército com clínica conveniada. Pedido de apoio aos Deputados para instauração de Comissão Parlamentar de Inquérito destinada à apuração de supostas irregularidades no Fundo de Saúde do Exército.
"
08/06/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=123.3.52.O&nuQuarto=73&nuOrador=2&nuInsercao=30&dtHorarioQuarto=16:24&sgFaseSessao=OD&Data=08/06/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Ordem do Dia&txTipoSessao=Ordinária - CD&dtHoraQuarto=16:24&txEtapa=",ORDEM DO DIA,16h24,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=24203&Datain=09/06/2005&txSuplemento=,123.3.52.O,"Repúdio às agressões verbais praticadas pela Deputada Maria do Rosário contra o orador.

"
